epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,255.796,2.28958,2.7952,1.7704,0.00178,0.05123,0.00096,0.00029,3.53289,3.81918,3.13702,0.00032,0.00032,0.00032
2,7138.16,1.49965,1.24486,1.17944,0.00141,0.04055,0.00073,0.00024,3.67701,3.94427,3.11488,0.00065406,0.00065406,0.00065406
3,7408.35,1.30165,0.99251,1.06826,0.82534,0.11095,0.20901,0.12278,2.19157,3.04094,1.87769,0.000982,0.000982,0.000982
4,7638.09,1.21412,0.87182,1.03285,0.8546,0.746,0.84259,0.52454,1.33045,1.29357,1.11553,0.00130382,0.00130382,0.00130382
5,7864.97,1.18328,0.81408,1.01453,0.84505,0.81484,0.8885,0.59394,1.20801,1.04416,1.05278,0.00161952,0.00161952,0.00161952
6,8095.62,1.14767,0.81224,1.00801,0.84799,0.87834,0.92314,0.64571,1.09522,0.84777,0.99897,0.00191,0.00191,0.00191
7,8329.6,1.12814,0.77356,0.99859,0.82551,0.90502,0.93231,0.65034,1.09829,0.79477,0.98815,0.001892,0.001892,0.001892
8,8568.02,1.13291,0.75552,0.99874,0.88315,0.90822,0.95477,0.67357,1.06224,0.79223,0.98496,0.001874,0.001874,0.001874
9,8801.83,1.10192,0.72436,0.99005,0.84281,0.90412,0.94503,0.64666,1.12642,0.85894,0.99447,0.001856,0.001856,0.001856
