epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,235.939,2.28958,2.7952,1.7704,0.00178,0.05123,0.00096,0.00029,3.53289,3.81918,3.13702,0.00032,0.00032,0.00032
2,477.154,1.50251,1.24763,1.18116,0.00163,0.04696,0.00085,0.00026,3.66308,3.93828,3.10744,0.0006303,0.0006303,0.0006303
3,703.128,1.30415,0.99367,1.06936,0.82933,0.08816,0.19713,0.1137,2.21201,3.07283,1.88816,0.00091,0.00091,0.00091
4,929.472,1.21631,0.87261,1.03292,0.86341,0.71398,0.81586,0.51298,1.33816,1.42891,1.14148,0.0011591,0.0011591,0.0011591
5,1160.24,1.18501,0.81853,1.01402,0.83676,0.82604,0.89967,0.60435,1.18957,1.06563,1.04914,0.0013776,0.0013776,0.0013776
6,1401.38,1.15281,0.81473,1.00834,0.83574,0.91766,0.93757,0.64924,1.12008,0.78362,1.00208,0.00155,0.00155,0.00155
7,1626.16,1.12249,0.76838,0.99693,0.85475,0.88047,0.93931,0.65587,1.10515,0.74655,0.987,0.00146,0.00146,0.00146
8,1857.94,1.12607,0.74484,0.99376,0.83907,0.90502,0.93442,0.65429,1.08519,0.74549,0.98267,0.00137,0.00137,0.00137
9,2079.66,1.11432,0.6983,0.99505,0.88198,0.90822,0.9556,0.67617,1.08082,0.7271,0.98507,0.00128,0.00128,0.00128
10,2304.08,1.09353,0.67727,0.97788,0.87225,0.90361,0.95228,0.66991,1.08464,0.68244,0.98933,0.00119,0.00119,0.00119
11,2517.01,1.05352,0.67331,0.96956,0.8964,0.91782,0.96313,0.68787,1.04009,0.7087,0.97588,0.0011,0.0011,0.0011
12,2735.78,1.04474,0.64838,0.96641,0.90457,0.90502,0.96133,0.69658,1.02556,0.77413,0.97133,0.00101,0.00101,0.00101
13,3356.46,1.03688,0.62955,0.96832,0.89893,0.89968,0.96136,0.68581,1.06182,0.64331,0.97595,0.00092,0.00092,0.00092
14,3580.69,1.03339,0.61564,0.96848,0.90184,0.91187,0.96489,0.68016,1.07316,0.64766,0.97891,0.00083,0.00083,0.00083
15,3800.59,1.01675,0.59515,0.96646,0.89128,0.9285,0.97068,0.70373,1.0205,0.59176,0.9638,0.00074,0.00074,0.00074
16,4020.26,0.99657,0.59259,0.94839,0.8474,0.92209,0.95447,0.68373,1.02674,0.65527,0.96835,0.00065,0.00065,0.00065
17,4246.31,0.99745,0.58266,0.95565,0.85371,0.93418,0.94549,0.67081,1.04297,0.70694,0.96414,0.00056,0.00056,0.00056
18,4490.99,0.98738,0.58049,0.95015,0.89472,0.92516,0.96732,0.70044,1.02887,0.60456,0.96929,0.00047,0.00047,0.00047
19,4734.67,0.98705,0.5616,0.94948,0.91255,0.92102,0.97358,0.70785,1.00277,0.56649,0.95688,0.00038,0.00038,0.00038
20,4972.22,0.97776,0.55432,0.94814,0.92809,0.89537,0.96848,0.70798,1.00572,0.56824,0.95563,0.00029,0.00029,0.00029
